Unnamed: 0,Name,QTY,Price,StoreID
, Boulevard Quirk Cherry Blossom 6pk , 6pk  Can , 9.99 ,2
, Boulevard Quirk Pineapple Orange 12z , 6pk 12 oz , 9.99 ,2
, Boulevard Quirk Seltzer Citrus Variety 12 Pack , 12pk  Can , 16.98 ,2
, Boulevard Quirk Whip Mix Pack 12cn , 12pk , 16.98 ,2
, Boulevard Rye On Rye Whiskey Barrel Aged Ale , 4pk 12 oz , 14.98 ,2
, Boulevard Seasonal 12z , 6pk 12 oz , 8.99 ,2
, Boulevard Single Wide IPA , , 9.99 - 16.98 ,2
, Boulevard Smoke Pack Dark Truth Stout , 6pk 12 oz , 13.98 ,2
, Boulevard Southwest Blvd , 12pk  Can , 16.98 ,2
, Boulevard Space Camper Cosmic IPA - 12oz can 12-pack , 12pk 12 oz Can , 16.98 ,2
, Boulevard Space Camper Cosmic IPA - 12oz can 6-pack , 6pk  Can , 9.99 ,2
, Boulevard Tank 7 , 6pk 12 oz , 13.98 ,2
, Boulevard Tank 7 Farmhouse Ale , 4pk 12 oz Can , 13.99 ,2
, Boulevard The Calling Double IPA 16oz Cans , 4pk 16 oz , 12.97 ,2
, Boulevard The Sixth Glass , 6pk , 13.98 ,2
, Boulevard Unfiltered Strawberry Wheat Ale Cns , 6pk  Can , 9.99 ,2
, Boulevard Unfiltered Wheat Beer - 12oz , 6pk 12 oz , 9.99 ,2
, Boulevard Unfiltered Wheat Beer - 12oz can 12-pack , 12pk 12 oz Can , 16.98 ,2
, Boulevard Wheat Bottles , 12pk 12 oz , 16.98 ,2
, Boulevard Whiskey Barrel Stout Bottles , 4pk , 14.98 ,2
, Byo Martin City Blonde Local , 6pk 12 oz , 8.98 ,2
, Byo Martin City Hardway IPA Local , 6pk , 8.98 ,2
, City Barrel Adulting 16z , 4pk 16 oz , 11.99 ,2
, City Barrel Beer League 12z , 6pk 12 oz Can , 10.98 ,2
, City Barrel Good Luck 12z , 6pk 12 oz Can , 10.98 ,2
, City Barrel Rad Af 12z , 6pk 12 oz Can , 14.98 ,2
, City Barrel Treat Yo Self 16z , 2 Options , 18.99 - 19.99 ,2
, Kc Bier Bier Box Variety 12 Pack , 12pk 12 oz , 17.98 ,2
, Kc Bier Co Dunkel , 6pk , 7.97 ,2
, Kc Bier Co Hefeweizen Local , 6pk , 7.97 ,2
, Kc Bier Co Helles Local , 6pk , 7.97 ,2
, Kc Bier Dunkel 12 Pack , 12pk 12 oz , 16.98 ,2
, Kc Bier Pils , 6pk 12 oz , 7.97 ,2
, Martin City Cafe Blonde , 6pk , 8.98 ,2
, Martin City Double Berry Sour 12z , 6pk 12 oz , 8.98 ,2
, Martin City Easy Way , 6pk , 8.98 ,2
